step,runtime,div_total_muts_batch_mean,div_marginal_count_batch_mean,div_marginal_fraction_batch_mean,div_marginal_fraction_batch_min,div_marginal_fraction_batch_max,div_fractional_score_batch_mean,div_fractional_score_batch_min,div_fractional_score_batch_max,div_fractional_normalized_batch_mean,div_fractional_normalized_batch_min,div_fractional_normalized_batch_max,div_pairwise_hamming_batch_mean,div_pairwise_hamming_batch_min,div_pairwise_hamming_batch_max,af3_ptm_batch_mean,af3_ptm_batch_min,af3_ptm_batch_max,af3_iptm_batch_mean,af3_iptm_batch_min,af3_iptm_batch_max,af3_ranking_score_batch_mean,af3_ranking_score_batch_min,af3_ranking_score_batch_max,af3_chain_ptm_protein_batch_mean,af3_chain_ptm_protein_batch_min,af3_chain_ptm_protein_batch_max,af3_chain_ptm_ligand_batch_mean,af3_chain_ptm_ligand_batch_min,af3_chain_ptm_ligand_batch_max,af3_chain_iptm_protein_batch_mean,af3_chain_iptm_protein_batch_min,af3_chain_iptm_protein_batch_max,af3_chain_iptm_ligand_batch_mean,af3_chain_iptm_ligand_batch_min,af3_chain_iptm_ligand_batch_max,af3_fraction_disordered_batch_mean,af3_fraction_disordered_batch_min,af3_fraction_disordered_batch_max,af3_has_clash_batch_mean,af3_has_clash_batch_min,af3_has_clash_batch_max,af3_interaction_pae_min_batch_mean,af3_interaction_pae_min_batch_min,af3_interaction_pae_min_batch_max,ame_motif_rmsd_batch_mean,ame_motif_rmsd_batch_min,ame_motif_rmsd_batch_max,ame_motif_atoms_missing_batch_mean,ame_motif_atoms_used_batch_mean,ame_motif_pass_batch_mean,ame_motif_rmsd_contigatom_batch_mean,ame_motif_rmsd_contigatom_batch_min,ame_motif_rmsd_contigatom_batch_max,ame_ligand_dist_des_ncac_min_batch_mean,ame_ligand_dist_des_ncac_min_batch_min,ame_ligand_dist_des_ncac_min_batch_max,ame_no_clash_batch_mean,ame_ligand_rmsd_max_batch_mean,ame_ligand_rmsd_max_batch_min,ame_ligand_rmsd_max_batch_max,ame_ligand_atoms_matched_batch_mean,ame_ligand_atoms_total_batch_mean,ame_motif_pass_and_no_clash_batch_mean,reward_batch_mean,reward_batch_min,reward_batch_max,reward
0,219.3301,180.0000,33.7500,0.1875,0.1611,0.2167,67.2500,61.4408,71.6530,0.3736,0.3413,0.3981,0.6682,0.6363,0.6881,0.5425,0.3500,0.7800,0.6744,0.3900,0.9000,0.6844,0.3800,0.9000,0.5269,0.3400,0.7500,0.0494,0.0400,0.0500,0.6675,0.4100,0.8700,0.2112,0.1400,0.3100,0.0731,0.0000,0.2300,0.0000,0.0000,0.0000,3.4906,1.2600,6.1900,19.2102,9.2627,36.5074,0.0000,54.0000,0.0000,20.9615,10.3937,38.5944,3.8118,3.8118,3.8118,1.0000,25.8906,11.8495,42.6949,24.0000,24.0000,0.0000,0.0000,-0.7976,0.8816,0.0000
1,430.9974,180.0000,36.7500,0.2042,0.1500,0.2611,69.5000,61.4832,77.0513,0.3861,0.3416,0.4281,0.6880,0.6593,0.7119,0.5906,0.3600,0.8100,0.7231,0.5400,0.8900,0.7163,0.5700,0.8700,0.5675,0.3500,0.8100,0.0500,0.0500,0.0500,0.7081,0.4800,0.8900,0.2269,0.1500,0.3400,0.0406,0.0000,0.1500,0.0000,0.0000,0.0000,2.9219,1.5700,5.6000,15.6123,6.6777,35.0201,0.0000,54.0000,0.0000,16.9782,7.7931,36.3409,3.8118,3.8118,3.8118,1.0000,24.7463,16.6638,42.5407,24.0000,24.0000,0.0000,0.0000,-0.7183,0.7551,0.0000
